City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
297,atasu,48.6814,71.6433,13.12,66,11,6.8,KZ,1638133117
298,mount gambier,-37.8333,140.7667,49.91,93,0,8.05,AU,1638133120
299,muscat,23.6139,58.5922,76.35,51,0,8.1,OM,1638132991
300,mintlaw,57.5241,-2.001,33.85,76,81,8.12,GB,1638133124
301,saint-francois,46.4154,3.9054,35.04,93,90,13.8,FR,1638133127
302,petropavlovsk-kamchatskiy,53.0452,158.6483,7.39,72,0,4.47,RU,1638133129
303,karratha,-20.7377,116.8463,80.71,63,34,3.18,AU,1638133132
304,huntington,38.4193,-82.4452,48.54,59,5,10.0,US,1638133134
305,santa maria del oro,25.9333,-105.3667,63.25,37,69,4.47,MX,1638133136
306,khorinsk,52.1657,109.7726,5.88,95,100,2.68,RU,1638133139
307,kresttsy,58.2452,32.5165,27.03,94,100,0.72,RU,1638133144
308,ostrovnoy,68.0531,39.5131,15.76,84,100,8.37,RU,1638133146
309,lake havasu city,34.4839,-114.3224,73.4,11,1,3.44,US,1638133148
310,caravelas,-17.7125,-39.2481,74.3,96,56,14.63,BR,1638133153
311,omsukchan,62.5333,155.8,-14.75,100,100,3.02,RU,1638133156
312,avera,33.194,-82.5271,57.25,34,87,9.8,US,1638133158
313,wahiawa,21.5028,-158.0236,74.95,69,75,9.22,US,1638133160
314,puerto narino,-3.7703,-70.3831,91.35,61,78,2.06,CO,1638133163
315,ambanja,-13.6833,48.45,75.04,93,100,1.66,MG,1638133168
316,namatanai,-3.6667,152.4333,81.16,79,77,5.82,PG,1638133170
317,high level,58.5169,-117.136,14.11,92,75,2.3,CA,1638133173
318,naze,28.3667,129.4833,63.79,66,100,15.14,JP,1638133175
319,mabaruma,8.2,-59.7833,78.49,83,100,5.61,GY,1638133177
320,tigil,57.8,158.6667,-2.69,93,100,5.3,RU,1638133180
321,grindavik,63.8424,-22.4338,43.27,100,90,12.66,IS,1638133184
322,narva-joesuu,59.4589,28.0408,26.49,87,99,10.36,EE,1638133189
323,las vegas,36.175,-115.1372,72.03,11,1,0.0,US,1638132953
324,xichang,27.8964,102.2634,44.65,85,16,1.43,CN,1638133194
325,hobyo,5.3505,48.5268,81.54,76,42,15.14,SO,1638133196
326,morondava,-20.2833,44.2833,73.72,78,0,1.83,MG,1638133024
327,bubaque,11.2833,-15.8333,83.39,70,68,14.29,GW,1638133201
328,saint-pierre,-21.3393,55.4781,74.88,83,75,3.44,RE,1638133203
329,galesong,-5.3166,119.3661,73.42,80,100,9.46,ID,1638133207
330,port shepstone,-30.7414,30.455,70.93,89,2,5.08,ZA,1638133209
331,mairana,-18.1167,-63.9333,63.41,86,83,3.2,BO,1638133212
332,tautira,-17.7333,-149.15,84.22,80,90,18.66,PF,1638132971
333,oktyabrskiy,54.4815,53.471,28.9,93,100,12.75,RU,1638133216
334,lavrentiya,65.5833,-171.0,-13.04,92,3,6.82,RU,1638133219
335,bud,39.447,-86.1758,42.82,43,22,15.03,US,1638133221
336,taft,31.7471,54.2088,54.79,50,100,2.01,IR,1638133224
337,marfino,55.7028,37.3822,37.35,80,90,6.71,RU,1638133226
338,riyadh,24.6877,46.7219,60.94,34,0,7.87,SA,1638133165
